"Step","patch size 2 - validation_accuracy","patch size 2 - validation_accuracy__MIN","patch size 2 - validation_accuracy__MAX","patch size 16 - validation_accuracy","patch size 16 - validation_accuracy__MIN","patch size 16 - validation_accuracy__MAX","patch size 12 - validation_accuracy","patch size 12 - validation_accuracy__MIN","patch size 12 - validation_accuracy__MAX","patch size 6 - validation_accuracy","patch size 6 - validation_accuracy__MIN","patch size 6 - validation_accuracy__MAX","patch size 3 - validation_accuracy","patch size 3 - validation_accuracy__MIN","patch size 3 - validation_accuracy__MAX"
"30","75.42735042735043","75.42735042735043","75.42735042735043","76.28205128205128","76.28205128205128","76.28205128205128","75.12210012210012","75.12210012210012","75.12210012210012","71.52014652014653","71.52014652014653","71.52014652014653","76.4957264957265","76.4957264957265","76.4957264957265"
"31","71.91697191697192","71.91697191697192","71.91697191697192","75.73260073260073","75.73260073260073","75.73260073260073","76.8009768009768","76.8009768009768","76.8009768009768","76.98412698412699","76.98412698412699","76.98412698412699","78.17460317460318","78.17460317460318","78.17460317460318"
"32","73.32112332112332","73.32112332112332","73.32112332112332","74.78632478632478","74.78632478632478","74.78632478632478","76.19047619047619","76.19047619047619","76.19047619047619","77.74725274725274","77.74725274725274","77.74725274725274","78.51037851037852","78.51037851037852","78.51037851037852"
"33","71.3980463980464","71.3980463980464","71.3980463980464","75.03052503052503","75.03052503052503","75.03052503052503","77.38095238095238","77.38095238095238","77.38095238095238","78.87667887667888","78.87667887667888","78.87667887667888","79.3040293040293","79.3040293040293","79.3040293040293"
"34","75.12210012210012","75.12210012210012","75.12210012210012","73.65689865689866","73.65689865689866","73.65689865689866","77.25885225885226","77.25885225885226","77.25885225885226","79.12087912087912","79.12087912087912","79.12087912087912","75.48840048840049","75.48840048840049","75.48840048840049"
"35","75.18315018315019","75.18315018315019","75.18315018315019","74.26739926739927","74.26739926739927","74.26739926739927","74.2979242979243","74.2979242979243","74.2979242979243","76.4041514041514","76.4041514041514","76.4041514041514","77.74725274725274","77.74725274725274","77.74725274725274"
"36","67.64346764346764","67.64346764346764","67.64346764346764","75.7020757020757","75.7020757020757","75.7020757020757","76.22100122100122","76.22100122100122","76.22100122100122","78.51037851037852","78.51037851037852","78.51037851037852","78.08302808302808","78.08302808302808","78.08302808302808"
"37","74.2979242979243","74.2979242979243","74.2979242979243","74.32844932844932","74.32844932844932","74.32844932844932","75.45787545787546","75.45787545787546","75.45787545787546","78.02197802197803","78.02197802197803","78.02197802197803","78.2967032967033","78.2967032967033","78.2967032967033"
"38","77.07570207570208","77.07570207570208","77.07570207570208","73.5958485958486","73.5958485958486","73.5958485958486","76.52625152625153","76.52625152625153","76.52625152625153","77.8998778998779","77.8998778998779","77.8998778998779","77.71672771672772","77.71672771672772","77.71672771672772"
"39","75.27472527472527","75.27472527472527","75.27472527472527","75.33577533577534","75.33577533577534","75.33577533577534","75.94627594627595","75.94627594627595","75.94627594627595","77.86935286935287","77.86935286935287","77.86935286935287","76.25152625152626","76.25152625152626","76.25152625152626"
